,HER_2024_06_17_17_50_17.sdds,HER_2024_06_17_17_51_02.sdds,HER_2024_06_17_17_51_31.sdds,HER_2024_06_17_17_52_05.sdds,HER_2024_06_17_17_52_33.sdds,HER_2024_06_17_17_53_03.sdds,HER_2024_06_17_17_53_37.sdds
MQEAE44,0.016267343769,0.0441330572704,0.043115997437,0.056405963507,0.0254087722824,0.016470010264,-0.0443941191256
MQEAE45,,,,,0.0637598427424,-0.006877548177,0.0416593984242
MQD3E40,,,0.43390820558,,0.463665384626,0.361279515719,0.470269360093
MQLA2RE,,-0.271760297021,-0.338987383825,-0.290921390306,-0.267210971679,-0.299951613998,-0.481488552983
MQLB8RE,,,,,,0.41489655455,0.17873420426
MQLB1RE,0.398465221544,0.404086858835,0.415166636566,0.420131625711,0.416613309773,0.419652772377,0.425493500763
MQLC7RE,0.409759150831,0.412634425894,0.415585479423,0.425740451123,0.417464049508,0.427537785429,0.417573459415
MQLC3RE,,0.340752984068,0.340553203635,0.33856065955,0.377131866311,0.402407522256,0.417317473141
MQC2RE,0.393229125224,0.399641668867,0.406242296738,0.414159478475,0.405257558941,0.425852592651,0.399423986142
MQC1RE,0.418417134541,0.414858892824,0.417587627594,0.422263893818,0.421643965008,0.429241770317,0.421918121725
